age,gender,marital,education,category,frequency,amount
4,1,1,1,3,4,326.5725
4,1,1,1,5,2,99.995
4,1,1,1,7,1,60.02
4,1,1,1,11,5,89.114
4,1,1,1,13,1,125.3
4,1,1,1,18,5,60.67
4,1,1,1,19,1,154.8
4,1,1,1,20,3,129.69666666666666
4,1,1,1,0,1,690.96
4,1,1,1,5,1,114.59
4,1,1,1,11,1,204.23
4,1,1,1,16,3,1366.0
4,1,1,1,18,2,178.14499999999998
4,1,1,1,19,1,139.9
4,1,1,1,5,1,11.84
4,1,1,1,6,1,524.02
4,1,1,1,8,2,36.795
4,1,1,1,11,1,150.0
4,1,1,1,18,4,190.34
4,1,1,1,19,2,99.95
4,1,1,1,3,4,468.6
4,1,1,1,5,1,399.99
4,1,1,1,6,2,370.555
4,1,1,1,8,2,5313.46
4,1,1,1,18,4,152.66250000000002
4,1,1,1,19,2,2384.3999999999996
4,1,1,1,20,1,143.62
4,1,1,1,0,6,364.77666666666664
4,1,1,1,3,2,434.4
4,1,1,1,5,3,373.3333333333333
4,1,1,1,6,2,86.13999999999999
4,1,1,1,7,1,41.59
4,1,1,1,18,8,139.27125
4,1,1,1,19,1,14.0
4,1,1,1,20,4,281.5975
4,1,1,1,0,1,992.85
4,1,1,1,3,1,300.0
4,1,1,1,5,1,177.51
4,1,1,1,7,1,151.93
4,1,1,1,18,5,242.908
4,1,1,1,19,4,70.65249999999999
4,1,1,1,0,7,5699.932857142857
4,1,1,1,3,1,95.97
4,1,1,1,5,3,260.71
4,1,1,1,6,1,2299.0
4,1,1,1,7,1,74.99
4,1,1,1,11,3,136.12666666666667
4,1,1,1,15,4,6053.4575
4,1,1,1,16,1,1084.58
4,1,1,1,18,8,262.3575
4,1,1,1,19,4,78.1575
4,1,1,1,20,6,276.56333333333333
4,1,1,1,21,2,1370.645
